date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:33:58	104/104	---M-Z	200	added ('OK')	text/plain	etag:%2213c48b3527a7c54b0ce8cb21626996f5%22	https://marcodecristofaro.framer.website/robots.txt		(from )
23:33:59	198170/198170	---MCZ	200	added ('OK')	text/html	etag:%22adb02b1115fd8a5bc58bf195c2aac21f%22	https://marcodecristofaro.framer.website/	C:/Users/decri/Desktop/Websites/Marco%20De%20Cristofaro%20-%20Portfolio/marcodecristofaro.framer.website/index.html	(from )
23:33:59	89/89	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2031%20Jan%202023%2012:58:31%20GMT	https://framerusercontent.com/modules/lbl33iB3OMjHcdZejTle/S3Ty1xN9DN2wzoxafl0V/assets/BR5EmjN5tBuii5CrS24vw2QXo.png	C:/Users/decri/Desktop/Websites/Marco%20De%20Cristofaro%20-%20Portfolio/framerusercontent.com/modules/lbl33iB3OMjHcdZejTle/S3Ty1xN9DN2wzoxafl0V/assets/BR5EmjN5tBuii5CrS24vw2QXo.0.delayed	(from https://marcodecristofaro.framer.website/)
23:33:59	312/312	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Feb%202023%2022:33:27%20GMT	https://framerusercontent.com/images/BR5EmjN5tBuii5CrS24vw2QXo.png	C:/Users/decri/Desktop/Websites/Marco%20De%20Cristofaro%20-%20Portfolio/framerusercontent.com/images/BR5EmjN5tBuii5CrS24vw2QXo.png	(from https://marcodecristofaro.framer.website/)
23:34:00	173928/173928	---MCZ	200	added ('OK')	text/html	etag:%22a5b5c71771ffbf5a8bdb4cd747f00d7d%22	https://marcodecristofaro.framer.website/case-studies	C:/Users/decri/Desktop/Websites/Marco%20De%20Cristofaro%20-%20Portfolio/marcodecristofaro.framer.website/case-studies.html	(from https://marcodecristofaro.framer.website/)
23:34:00	103179/103179	---MCZ	200	added ('OK')	text/html	etag:%220c6e11dc80486d7f172b76ba865d4440%22	https://marcodecristofaro.framer.website/about	C:/Users/decri/Desktop/Websites/Marco%20De%20Cristofaro%20-%20Portfolio/marcodecristofaro.framer.website/about.html	(from https://marcodecristofaro.framer.website/)
23:34:01	86384/86384	---MCZ	200	added ('OK')	text/html	etag:%224de19c5f57ca2045310ea11209488c9b%22	https://marcodecristofaro.framer.website/contact	C:/Users/decri/Desktop/Websites/Marco%20De%20Cristofaro%20-%20Portfolio/marcodecristofaro.framer.website/contact.html	(from https://marcodecristofaro.framer.website/)
23:34:01	18116/18116	---M--	200	added ('OK')	image/jpeg	date:Wed,%2001%20Feb%202023%2022:33:28%20GMT	https://framerusercontent.com/images/10bGNDf7PmWo2cHHEd3dtq8.jpg	C:/Users/decri/Desktop/Websites/Marco%20De%20Cristofaro%20-%20Portfolio/framerusercontent.com/images/10bGNDf7PmWo2cHHEd3dtq8.jpg	(from https://marcodecristofaro.framer.website/)
23:34:02	20339/20339	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Feb%202023%2022:33:29%20GMT	https://framerusercontent.com/images/F9631fVBxpmQJnn2DJHc8bdkrQ.png	C:/Users/decri/Desktop/Websites/Marco%20De%20Cristofaro%20-%20Portfolio/framerusercontent.com/images/F9631fVBxpmQJnn2DJHc8bdkrQ.png	(from https://marcodecristofaro.framer.website/)
23:34:02	34478/34478	---M--	200	added ('OK')	image/jpeg	date:Wed,%2001%20Feb%202023%2022:33:29%20GMT	https://framerusercontent.com/images/eTc55XNU9cnuBQHIC5XUTdcVPM.jpg	C:/Users/decri/Desktop/Websites/Marco%20De%20Cristofaro%20-%20Portfolio/framerusercontent.com/images/eTc55XNU9cnuBQHIC5XUTdcVPM.jpg	(from https://marcodecristofaro.framer.website/)
23:34:02	17176/17176	---M--	200	added ('OK')	image/jpeg	date:Wed,%2001%20Feb%202023%2022:33:29%20GMT	https://framerusercontent.com/images/TRwnWG018NjL1JlbLmHuPW7PshQ.jpg	C:/Users/decri/Desktop/Websites/Marco%20De%20Cristofaro%20-%20Portfolio/framerusercontent.com/images/TRwnWG018NjL1JlbLmHuPW7PshQ.jpg	(from https://marcodecristofaro.framer.website/)
23:34:03	18384/18384	---M--	200	added ('OK')	image/jpeg	date:Wed,%2001%20Feb%202023%2022:33:30%20GMT	https://framerusercontent.com/images/JHcdjkFFST8T62f25uVt1bjZHhg.jpg	C:/Users/decri/Desktop/Websites/Marco%20De%20Cristofaro%20-%20Portfolio/framerusercontent.com/images/JHcdjkFFST8T62f25uVt1bjZHhg.jpg	(from https://marcodecristofaro.framer.website/case-studies)
23:34:03	20141/20141	---M--	200	added ('OK')	image/jpeg	date:Wed,%2001%20Feb%202023%2022:33:30%20GMT	https://framerusercontent.com/images/BAWLqjARxI1n1v2vumcVE93T1Ec.jpg	C:/Users/decri/Desktop/Websites/Marco%20De%20Cristofaro%20-%20Portfolio/framerusercontent.com/images/BAWLqjARxI1n1v2vumcVE93T1Ec.jpg	(from https://marcodecristofaro.framer.website/case-studies)
